7zip 26.03-1.1
a52dec 0.8.0-3.1
aalib 1.4rc5-19.1
aarch64-linux-gnu-binutils 2.47-1
aarch64-linux-gnu-gcc 16.1.0-1.1
aarch64-linux-gnu-gdb 17.2-1.1
aarch64-linux-gnu-glibc 2.44-1
aarch64-linux-gnu-linux-api-headers 7.0-1
aarch64-linux-gnu-pkg-config 0.29.2-3
aardvark-dns 2.1.0-3.1
abseil-cpp 20260107.1-1.1
abseil-cpp11 20220623.2-2
accountsservice 26.27.3-1.1
acl 2.4.0-1.1
ada 4.0.0-1.1
adlplug-standalone 1.0.2-13.1
adriconf 2.7.4-1.1
advancecomp 2.6-2.1
adw-gtk-theme 6.5-1
adwaita-cursors 50.0-1
adwaita-fonts 51.0-2
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
adwaita-qt5-git 1.4.1.r29.g0a77436-1.1
adwaita-qt6-git 1.4.1.r29.g0a77436-1.1
adwsteamgtk 0.8.0-1.1
aeolus 0.10.4-4.1
afflib 3.7.22-2
afl++ 5.00c-1
afpfs-ng 0.8.2-4.1
aha 0.5.1-3.2
aic94xx-firmware 30-10.1
aircrack-ng 1.7-7
airspy 1.0.10-5.1
aj-snapshot 0.9.9-3.2
akonadi 26.08.0-1.1
akonadi-mime 26.08.0-1.1
alacritty 0.17.0-1.1
alacritty-themes 6.0.2-1
alembic 1.8.12-1.1
alhp-keyring 20250509-1
alhp-mirrorlist 20260324-1
aliki 0.3.0-4.2
alligator 26.08.0-1.1
alpm-buildinfo 0.5.3-2.1
alpm-db 0.2.2-2.1
alpm-docs 0.11.2-1
alpm-lint 0.3.2-1.1
alpm-mtree 0.3.3-2.1
alpm-pkgbuild-bridge 0.1.0-1
alpm-pkginfo 0.6.2-2.1
alpm-repo-db 0.1.2-2.1
alpm-soname 0.4.2-2.1
alpm-srcinfo 0.6.3-2.1
alsa-card-profiles 1:1.6.8-1.1
alsa-lib 1.2.16.1-1.1
alsa-plugins 1:1.2.12-6.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1.1
amb-plugins 0.8.1-9.1
amd-ucode-git 20260904.2f2bf38a-1
amdgpu-pro-oglp 25.10_2203192-1
amf-amdgpu-pro 25.10_2203192-1
amf-headers 1.5.2-1
anari-sdk 0.16.0-1.1
android-aarch64-zlib 1.3.1-2
android-apktool-bin 3.0.2-1
android-ndk r29-3
android-sdk-platform-tools 37.0.1-1
android-tools 37.0.0-4.1
android-udev 20260423-1
angelfish 26.08.0-1.1
annas-mcp 0.1-3
antigravity 2.11.0-1
antigravity-tools-bin 4.6.7-1
antiword 0.37-12.1
aocl-aocc 5.3.0-2
aocl-compression 5.2-1
aocl-crypto 5.3-1
aocl-gcc 5.3.0-2
aocl-libm 5.2-1
aocl-utils 1:5.3.2-1
aom 3.15.0-1.1
